Sample	Input	Notes
#May 13, 2025 - Task 1 
GSM3772932	NA	THP-1_DMSO_1_AR
GSM3772933	NA	THP-1_DMSO_2_AR
GSM3772934	NA	THP-1_R1881_1_AR
GSM3772935	NA	THP-1_R1881_2_AR
#May 13, 2025 - Task 2, ZR-75-1 AR ChIP E2 Consensus
GSM3511083	GSM3511082	ZR-75-1 AR ChIP E2+DHT Consensus
#May 13, 2025 - Task 3, MDA_MB_453_ARChIPseq_Input
GSM1909086	GSM1909092	MDA_MB_453_ARChIPseq_Vehicle1
GSM1909087	GSM1909092	MDA_MB_453_ARChIPseq_Vehicle2
GSM1909088	GSM1909092	MDA_MB_453_ARChIPseq_DHT1
GSM1909089	GSM1909092	MDA_MB_453_ARChIPseq_DHT2
	
